ID,name,url,location,no. of reviews,description,tuition,enrollment
138,Samford University,https://www.usnews.com//best-colleges/samford-university-1036,"Birmingham, AL",,"A Christian school in Birmingham, Alabama, Samford University offers students more than 150 majors, minors and concentrations to choose from. Many students at Samford participate in school traditions, such as the Step Sing musical competition.","$35,360 ","3,576(fall 2020)"
139,Simmons University,https://www.usnews.com//best-colleges/simmons-university-2208,"Boston, MA",3 reviews,"Simmons University is a private school in Boston for female undergraduates and co-ed graduate students. Students at Simmons can play Division III sports, walk to numerous nearby college campuses and explore the city life of Boston.","$43,112 ","1,744(fall 2020)"
140,University of La Verne,https://www.usnews.com//best-colleges/university-of-la-verne-1216,"La Verne, CA",3 reviews,"Founded in 1891, University of La Verne is a private institution. University of La Verne follows a 4-1-4-based academic calendar and its admissions are considered selective.","$45,850 ","2,484(fall 2020)"
141,University of Nebraska--Lincoln,https://www.usnews.com//best-colleges/university-of-nebraska-2565,"Lincoln, NE",4 reviews,"The University of Nebraska\'97Lincoln, or UNL, is a large, public research institution that offers about 150 undergraduate majors. There are more than 400 student organizations to join, as well as a large community of fraternities and sororities.","$27,002(out-of-state)","20,286(fall 2020)"
142,University of New Hampshire,https://www.usnews.com//best-colleges/university-of-new-hampshire-2589,"Durham, NH",2 reviews,"Located near the coastline of the state, University of New Hampshire (UNH) is a public institution located in the city of Durham. Students at UNH can participate in many clubs, Division I sports and a freshmen camping trip during the summer before classes begin. ","$37,202(out-of-state)","11,747(fall 2020)"
143,University of St. Thomas (MN),https://www.usnews.com//best-colleges/university-of-st-thomas-minnesota-2345,"St. Paul, MN",1 review,"Founded in 1885, University of St. Thomas (MN) is a private institution. University of St. Thomas (MN) follows a 4-1-4-based academic calendar and its admissions are considered more selective.","$48,609 ","6,333(fall 2020)"
144,University of Texas at Dallas,https://www.usnews.com//best-colleges/university-of-texas-at-dallas-9741,"Richardson, TX",8 reviews,"Founded in 1969, University of Texas at Dallas is a public institution. The school has 22.8% of its classes with fewer than 20 students, and the student-faculty ratio at University of Texas at Dallas is 23:1.","$39,776(out-of-state)","21,187(fall 2020)"
145,University of the Pacific,https://www.usnews.com//best-colleges/university-of-the-pacific-1329,"Stockton, CA",4 reviews,"The University of the Pacific is a private college in Stockton, Calif. The school\'92s picturesque campus has been featured in films including All the King\'92s Men, Porgy & Bess, and Flubber.","$52,352 ","3,524(fall 2020)"
146,University of Tulsa,https://www.usnews.com//best-colleges/university-of-tulsa-3185,"Tulsa, OK",6 reviews,"Students at the University of Tulsa leave with two transcripts: an academic one and a co-curricular one. The CCT, as the latter is known, is a log of all membership in clubs, any leadership positions and any marketable skills a student has gained while in college. To beef up a CCT, students can get involved in more than 200 student clubs and organizations. The school\'92s Greek system has more than 10 fraternities and sororities. Freshmen and sophomores must live on campus, unless they commute from a parent's home within 20 miles of campus. Students who are at least 21 years old or married may live off campus, too. The Golden Hurricane sports teams are members of the Division I American Athletic Conference, and the school\'92s mascot is a superhero named Captain Cane. Students can join in Hurricane Thursdays, campus celebrations that alternate between carnivals, concerts and more. The TU campus is two miles away from downtown Tulsa, Oklahoma, a city of about half a million people that is home to performing arts centers, museums, shops and nightclubs. The state capital of Oklahoma City is about 100 miles away.The University of Tulsa is known for its petroleum engineering programs, which are taught in a $16 million facility complete with drilling simulator. Any student, regardless of major, can get involved in research projects as early as freshman year. TU is also home to one of the first college campus mosques in the country, which was built with the help of private funds. Notable TU alumni include Tampa Bay Buccaneers head coach Lovie Smith. Television psychologist Dr. Phil (Phillip McGraw) attended the University of Tulsa before transferring to another school.","$44,838 ","2,929(fall 2020)"
147,Colorado State University,https://www.usnews.com//best-colleges/colorado-state-university-1350,"Fort Collins, CO",6 reviews,"Colorado State University, also known as CSU, is located at the base of the Rocky Mountains in the city of Fort Collins. CSU students have opportunities to conduct research with faculty, join one of the hundreds of campus organizations or cheer on more than 15 Division I sports teams.","$31,540(out-of-state)","25,186(fall 2020)"
148,CUNY--City College,https://www.usnews.com//best-colleges/cuny-city-college-2688,"New York, NY",3 reviews,"Founded in 1847, CUNY--City College is a public institution. CUNY--City College offers a Greek system, where 1 percent of the student body is involved in a sorority and 1% is involved in a fraternity.","$19,010(out-of-state)","12,587(fall 2020)"
149,Duquesne University,https://www.usnews.com//best-colleges/duquesne-university-3258,"Pittsburgh, PA",3 reviews,"Founded in 1878, Duquesne University is a private institution. Duquesne University follows a semester-based academic calendar and its admissions are considered more selective.","$43,526 ","5,383(fall 2020)"
